Random Files
File	Time
"a100"	0
"a1000"	0
"a10000"	0.0020116
"a100000"	0.0160773
"a1000000"	0.286283
"a1250000"	0.380701
"a15000"	0.0040041
"a1500000"	0.425911
"a200"	0
"a2000"	0
"a200000"	0.0415967
"a2000000"	0.604777
"a30000"	0.0158635
"a500"	0
"a5000"	0.0070132
"a50000"	0.0180283
"a500000"	0.144005
"a7500"	0.0168907
"a75000"	0.0154166
"a750000"	0.21339
